,Unnamed: 0,Model Type,seed,jsd,pears,spear
0,0,Standard-NoRCAug,1535,0.22224164088444726,0.3785782109943991,0.2888664376652148
1,1,Standard-RCAug,1535,0.21905812063377814,0.3906104927876675,0.2955178481932862
2,2,RCPS,1535,0.232923383739071,0.33848606101814305,0.2631575465338655
3,3,CJ-trained,1535,0.22091546921872424,0.3822434687609543,0.2897120838455044
4,4,CJ-posthoc,1535,0.21645638872523432,0.40253016322942736,0.30493788480328565
5,5,RCPS-half,1535,0.2312515545371778,0.3500271414608003,0.2738576757654101
6,6,Standard-NoRCAug,9999,0.2205425724563556,0.3836202789272531,0.2938071868749965
7,7,Standard-RCAug,9999,0.21664517725663007,0.3968370207483065,0.3041530229016032
8,8,RCPS,9999,0.21952320196416653,0.38638547322717803,0.2947579886303967
9,9,CJ-trained,9999,0.2186599896787836,0.38932457589285374,0.2984278382319939
10,10,CJ-posthoc,9999,0.21480148694501208,0.4054302091254969,0.3100315367237132
11,11,RCPS-half,9999,0.21953960681504311,0.38314030367444135,0.2988367226557465
12,12,Standard-NoRCAug,4652,0.2215898370273627,0.3791311733784548,0.2898857212419237
13,13,Standard-RCAug,4652,0.21895072049678785,0.39074488713194855,0.2991854745850518
14,14,RCPS,4652,0.22085281015648647,0.3807469858753976,0.2971293618689473
15,15,CJ-trained,4652,0.21813244870713075,0.3927833238799482,0.29972632738990235
16,16,CJ-posthoc,4652,0.21690751172135994,0.4013586718938073,0.3069272824939339
17,17,RCPS-half,4652,0.22297842646335192,0.3751552460993395,0.2894802092661155
18,18,Standard-NoRCAug,6806,0.22458878068576835,0.3754674859147136,0.2892040946845692
19,19,Standard-RCAug,6806,0.22007371616863705,0.3867754086810517,0.29603496599521384
20,20,RCPS,6806,0.21881488681781747,0.3898050125281006,0.2993144961892751
21,21,CJ-trained,6806,0.21983642263358866,0.38630397934632976,0.2970660054357633
22,22,CJ-posthoc,6806,0.21715563518742376,0.4003223834615471,0.305779168877268
23,23,RCPS-half,6806,0.225475037690376,0.3690793130747525,0.2859755810938611
24,24,Standard-NoRCAug,7626,0.22140825372561376,0.3808447917011614,0.2915712428779658
25,25,Standard-RCAug,7626,0.21947207108910452,0.3860808346510993,0.2965113285009024
26,26,RCPS,7626,0.21870605727938,0.3889815466974894,0.2985630446018531
27,27,CJ-trained,7626,0.2196437891463389,0.3868166914390269,0.2946115064875775
28,28,CJ-posthoc,7626,0.21782918739344725,0.39462632696737854,0.3022776632600059
29,29,RCPS-half,7626,0.2217835588686144,0.3849721949634201,0.29690240069397444
30,30,Standard-NoRCAug,2143,0.22132639215697836,0.37804426784287776,0.2909496636700316
31,31,Standard-RCAug,2143,0.2187098644927604,0.39347761988260094,0.3009054653658535
32,32,RCPS,2143,0.22069997169617755,0.3826574839686369,0.29761132514511257
33,33,CJ-trained,2143,0.21941962985860575,0.3922558397315061,0.2991916673233576
34,34,CJ-posthoc,2143,0.2163704885759866,0.40479056593348,0.3089446748100597
35,35,RCPS-half,2143,0.221987327616608,0.3806204475527003,0.2961616497242328
36,36,Standard-NoRCAug,3578,0.2224010016698521,0.3774630581230863,0.2884239531038455
37,37,Standard-RCAug,3578,0.21873875802980497,0.3895867234231541,0.2972373939588283
38,38,RCPS,3578,0.2239545693182844,0.3724156124802371,0.2870478832243034
39,39,CJ-trained,3578,0.21873926396824084,0.3901542761858922,0.2966262867045679
40,40,CJ-posthoc,3578,0.2160436430514235,0.4020297796880736,0.3069733204462564
41,41,RCPS-half,3578,0.2255279951220548,0.3723846231786,0.2846285273620388
42,42,Standard-NoRCAug,1780,0.2223532689689245,0.3786309207651424,0.28969258148158245
43,43,Standard-RCAug,1780,0.21993347195250396,0.3879695123343585,0.2967288667456266
44,44,RCPS,1780,0.21885162208846165,0.3902982947197135,0.2980668942217145
45,45,CJ-trained,1780,0.2190243698725964,0.3888776444507842,0.2978006586415801
46,46,CJ-posthoc,1780,0.21689414870472587,0.40050752752485663,0.30643609486147544
47,47,RCPS-half,1780,0.2218619052880286,0.3797823441269362,0.2939302374421625
48,48,Standard-NoRCAug,6117,0.2213929361704992,0.3830004945068908,0.2948064637527795
49,49,Standard-RCAug,6117,0.2185261005289049,0.3937097918756621,0.3005489830004239
50,50,RCPS,6117,0.21987317180740398,0.3835828335004635,0.29550992109136337
51,51,CJ-trained,6117,0.21930464117960996,0.3877149028952648,0.29713199195310425
52,52,CJ-posthoc,6117,0.21650543647802994,0.40465041604703217,0.3088433698493732
53,53,RCPS-half,6117,0.2239248058593384,0.3712483597520439,0.287376513563156
54,54,Standard-NoRCAug,9295,0.2217931036980512,0.3766523738403565,0.2908758699314108
55,55,Standard-RCAug,9295,0.21901713873268416,0.38810540291446505,0.2986979191003863
56,56,RCPS,9295,0.22088433077831846,0.3819559062436935,0.29465802159074983
57,57,CJ-trained,9295,0.22037943257323336,0.3870326671384364,0.29683699825973675
