,Unnamed: 0,Model Type,seed,jsd,pears,spear
0,0,Standard-NoRCAug,1535,0.1638631115262773,0.3947479189417703,0.35072826629185816
1,1,Standard-RCAug,1535,0.15959348779181134,0.4118106596683527,0.3638969850831809
2,2,RCPS,1535,0.16705756593789306,0.3923251863796825,0.3453280063474289
3,3,CJ-trained,1535,0.16043276459252218,0.4088011998377087,0.3606299247044996
4,4,CJ-posthoc,1535,0.1580147963248399,0.4206507448801525,0.3700091653992775
5,5,RCPS-half,1535,0.16318565424833842,0.4006357883262655,0.35445467465831026
6,6,Standard-NoRCAug,9999,0.16260068087266896,0.4016458654348529,0.3551512722579997
7,7,Standard-RCAug,9999,0.15944118351531875,0.4135474191418022,0.3650836113319386
8,8,RCPS,9999,0.1598588413263979,0.4127957964712898,0.3644217101903007
9,9,CJ-trained,9999,0.16009260221173707,0.4099027901263956,0.3619555253816494
10,10,CJ-posthoc,9999,0.15814252468260348,0.42137276615414576,0.3704755893360244
11,11,RCPS-half,9999,0.16416840905674007,0.3966273791597871,0.3524315265566677
12,12,Standard-NoRCAug,4652,0.16269738050410246,0.399588793446452,0.35487906015902904
13,13,Standard-RCAug,4652,0.16091936984213706,0.4068038183820892,0.3604193464757453
14,14,RCPS,4652,0.15984300121418946,0.4123016152361962,0.3642818409785351
15,15,CJ-trained,4652,0.16126358131291385,0.4065029385166328,0.3590384031533017
16,16,CJ-posthoc,4652,0.1595721243728858,0.4145095785641652,0.3658936881436719
17,17,RCPS-half,4652,0.16313681427054996,0.4032471426014417,0.3570561392794484
18,18,Standard-NoRCAug,6806,0.16336817026383718,0.39520538554464296,0.3517898155702339
19,19,Standard-RCAug,6806,0.1612689048792936,0.4056919688293066,0.3595875680865116
20,20,RCPS,6806,0.15877921669086498,0.4153670656765509,0.3658024329156776
21,21,CJ-trained,6806,0.16048314870539435,0.4070434065068893,0.3605372756637151
22,22,CJ-posthoc,6806,0.15986788463302434,0.4136432485846239,0.3654169664964433
23,23,RCPS-half,6806,0.1600979876779269,0.4097690355153044,0.3635464515966176
24,24,Standard-NoRCAug,7626,0.16418389388699142,0.3933224584027782,0.35053620053887685
25,25,Standard-RCAug,7626,0.1607265382727591,0.4070640390970275,0.360157315105025
26,26,RCPS,7626,0.15798282176609174,0.4167569422755574,0.3687533072683029
27,27,CJ-trained,7626,0.1612669865198131,0.4065977189687071,0.35866332080305396
28,28,CJ-posthoc,7626,0.15927356404711324,0.4153865070729836,0.3659195061229341
29,29,RCPS-half,7626,0.16140611562529766,0.4063528207436813,0.3592935344228191
30,30,Standard-NoRCAug,2143,0.16220410290010953,0.4032770783548996,0.3571954912948822
31,31,Standard-RCAug,2143,0.1588349658952892,0.4150522071334081,0.3663215155250663
32,32,RCPS,2143,0.16179703519844102,0.4098945148745145,0.3610115199351887
33,33,CJ-trained,2143,0.1615320989720167,0.4056807524056267,0.3578504156098881
34,34,CJ-posthoc,2143,0.15748470501807582,0.4226009678756269,0.3715692937476858
35,35,RCPS-half,2143,0.15978310750999014,0.4163358437705829,0.3673735110833392
36,36,Standard-NoRCAug,3578,0.1637911040802736,0.3922963552739209,0.3496377531111893
37,37,Standard-RCAug,3578,0.1596760635743126,0.4107792568761639,0.36392062411658205
38,38,RCPS,3578,0.16079212552784425,0.41138003961686376,0.3632688640282552
39,39,CJ-trained,3578,0.1616946797134876,0.4053599315801578,0.3574878165915772
40,40,CJ-posthoc,3578,0.1578525104308293,0.4203659089128584,0.3704764417104613
41,41,RCPS-half,3578,0.16073271665279304,0.4085546236113317,0.3619485972821334
42,42,Standard-NoRCAug,1780,0.16365703246725175,0.3975123647474849,0.35254166312068536
43,43,Standard-RCAug,1780,0.16029416583214134,0.4103125692673084,0.36310099843657
44,44,RCPS,1780,0.16004551521141247,0.4115431737297761,0.3624701033296537
45,45,CJ-trained,1780,0.160699375752744,0.4066260205646045,0.3604493613593212
46,46,CJ-posthoc,1780,0.15897918758524845,0.4175453273837435,0.36822573071394266
47,47,RCPS-half,1780,0.16136103318896786,0.4058233025153794,0.3593071674809492
48,48,Standard-NoRCAug,6117,0.16231152087856726,0.4006260311251146,0.3556218027173211
49,49,Standard-RCAug,6117,0.15936023015221346,0.4135962797466353,0.3656714033138919
50,50,RCPS,6117,0.15861259560887164,0.4171948958066431,0.3670151259651601
51,51,CJ-trained,6117,0.16021214772563505,0.4096723979919327,0.3625199607882733
52,52,CJ-posthoc,6117,0.1580485898677675,0.4210750291754419,0.37081281595200544
53,53,RCPS-half,6117,0.16057673123004912,0.4098403580024321,0.3625707766668633
54,54,Standard-NoRCAug,9295,0.16271292412830826,0.3999660709094316,0.35455293305741564
55,55,Standard-RCAug,9295,0.15928294147304772,0.4139024696386706,0.364764736941325
56,56,RCPS,9295,0.15944518931544674,0.4136662634047262,0.3650850561984385
57,57,CJ-trained,9295,0.1605430087998209,0.40895633219100747,0.361002255525684
58,58,CJ-posthoc,9295,0.1578825927161153,0.42168822835481934,0.3700986852832769
59,59,RCPS-half,9295,0.16089853628429293,0.4102922899615239,0.36237142997873295
0,0,CJRCPS,1535,0.15880252284086493,0.4166919602451703,0.3665236476354629
1,1,CJRCPS,9999,0.15914351216545308,0.4175995700812452,0.3674000297306445
2,2,CJRCPS,4652,0.15865954645367322,0.4162896470150552,0.3669703854097992
3,3,CJRCPS,6806,0.15879591482434444,0.41518200749163775,0.36601298424584616
4,4,CJRCPS,7626,0.1607379653284043,0.4093759841620039,0.3622245429316071
5,5,CJRCPS,2143,0.15967929228684513,0.4153136775573983,0.36527236628896576
