,Model Type,Held-out AuROC,Held-out AuPRC,Imbalance
95,CJ-posthoc-postsigmoid,0.9305009704626073,0.7179710317513486,upsample
96,CJRCPS-early,0.8863792432366601,0.5105885454883322,upsample
97,CJRCPS-later,0.922293285704411,0.6953054882745966,upsample
98,CJRCPS-all,0.9286273851491244,0.714752988219687,upsample
99,Standard-NoRCAug,0.920710146573318,0.6855034079231608,upsample
100,Standard-RCAug,0.9231354116264603,0.6992701813187878,upsample
101,RCPS-Sum,0.9265325107716411,0.6927956671572832,upsample
102,RCPS-Avg,0.9242602348420763,0.6926172144576381,upsample
103,CJ-trained,0.927866416837005,0.7033704490643217,upsample
104,CJ-trained-max,0.9244038978693709,0.6888533512529194,upsample
105,CJ-posthoc,0.9272124586223051,0.7146310935240757,upsample
106,CJ-posthoc-postsigmoid,0.9269455334033339,0.7165562692722895,upsample
107,CJRCPS-early,0.9265661121479536,0.7075522179209859,upsample
108,CJRCPS-later,0.9213378408551043,0.6876169407186361,upsample
109,CJRCPS-all,0.9285168777655989,0.7130950540560376,upsample
