,Unnamed: 0,Model Type,seed,jsd,pears,spear,Train or Test
0,0,Standard-NoRCAug,1535,0.1512240862686261,0.412561943860818,0.3577210991018143,train
1,1,Standard-RCAug,1535,0.15490950258335476,0.39538145392969415,0.3441286335892427,train
2,2,RCPS,1535,0.16441369595173727,0.35475391935293005,0.30980448331679233,train
3,3,CJ-duringtraining,1535,0.14708208381342475,0.42824907411541147,0.3711049176404533,train
4,4,CJ-posthoc,1535,0.1534724608464673,0.4038622812824916,0.3507027479613695,train
5,5,RCPS-half,1535,0.1657936346459252,0.3487255927726889,0.3053153048416452,train
6,6,CJRCPS,1535,0.16082338761315476,0.3688343068016729,0.32221539844487923,train
7,7,Standard-NoRCAug,9999,0.15741448564945518,0.3853194777537076,0.3359882048021817,train
8,8,Standard-RCAug,9999,0.15428125816487126,0.3960585540825355,0.34390658609537555,train
9,9,RCPS,9999,0.15495756880118594,0.39684494596877257,0.34447367343311897,train
10,10,CJ-duringtraining,9999,0.15003746937201967,0.4149007721349887,0.35951959974333425,train
11,11,CJ-posthoc,9999,0.1529559612684234,0.4043358328223032,0.3498841766283952,train
12,12,RCPS-half,9999,0.15956262457636464,0.3728034028271103,0.3278028097406145,train
13,13,CJRCPS,9999,0.15547922288315694,0.3936230071500024,0.34184395824051306,train
14,14,Standard-NoRCAug,4652,0.15092738045827442,0.4151090587177049,0.3591539960537866,train
15,15,Standard-RCAug,4652,0.153369730630128,0.39787270153399396,0.3463491401887579,train
16,16,RCPS,4652,0.16464223205003478,0.3551815553090792,0.31178536333000983,train
17,17,CJ-duringtraining,4652,0.1499574434145995,0.4149155114869953,0.3602320253509915,train
18,18,CJ-posthoc,4652,0.15163682550097732,0.40827251890535454,0.3542500593676957,train
19,19,RCPS-half,4652,0.1636465703666481,0.3583497496407486,0.3147581218450867,train
20,20,CJRCPS,4652,0.1594766536391214,0.3760957311540162,0.3289265846554648,train
21,21,Standard-NoRCAug,6806,0.14899694082262185,0.4196654923464653,0.3640105253358573,train
22,22,Standard-RCAug,6806,0.15437804076700032,0.39657111596260347,0.3459420904499089,train
23,23,RCPS,6806,0.1467171103926117,0.42673626034303536,0.3678267288533877,train
