,Model Type,Held-out AuROC,Held-out AuPRC,Imbalance
0,Standard-NoRCAug,0.988287589801738,0.973131797283016,upsample
1,Standard-RCAug,0.990282214390279,0.9770825760114831,upsample
2,RCPS-Sum,0.992009697318429,0.9807048646817615,upsample
3,RCPS-Avg,0.99147934877345,0.9801306076814718,upsample
4,CJ-trained,0.9916888015434476,0.9798155641095776,upsample
5,CJ-posthoc,0.9916726816554828,0.9800947473266326,upsample
6,CJRCPS-early,0.9906401097506283,0.9772717579099613,upsample
7,CJRCPS-later,0.9883134831650829,0.972914298312594,upsample
8,CJRCPS-all,0.9907151983888575,0.9781373852940392,upsample
9,Standard-NoRCAug,0.9883131975765166,0.9728682211139426,upsample
10,Standard-RCAug,0.9901675981790027,0.9771721576750709,upsample
11,RCPS-Sum,0.9922580324428611,0.9811384435300264,upsample
12,RCPS-Avg,0.9920229190113136,0.9814563883632493,upsample
13,CJ-trained,0.9909646335581375,0.9783302074585325,upsample
14,CJ-posthoc,0.9914937445526626,0.9798950744481869,upsample
15,CJRCPS-early,0.9892091841051981,0.969340104183596,upsample
16,CJRCPS-later,0.9421406132326933,0.8915052380011267,upsample
17,CJRCPS-all,0.9911376684972542,0.9789458830765412,upsample
18,Standard-NoRCAug,0.9885688628074837,0.9721203167086199,upsample
19,Standard-RCAug,0.9902648781065689,0.9764635200441425,upsample
20,RCPS-Sum,0.9922061187879198,0.9810574588176804,upsample
21,RCPS-Avg,0.9922748292815017,0.981414204598405,upsample
22,CJ-trained,0.9908518683838647,0.9793331302696722,upsample
23,CJ-posthoc,0.9916213391776741,0.9800561752280121,upsample
24,CJRCPS-early,0.9879734318014503,0.9597038878309747,upsample
25,CJRCPS-later,0.9884160094603857,0.9744545682425823,upsample
26,CJRCPS-all,0.9906766122003435,0.978506709012127,upsample
27,Standard-NoRCAug,0.9889003782461901,0.9730404755609534,upsample
28,Standard-RCAug,0.9905590025977983,0.977041664067939,upsample
29,RCPS-Sum,0.9922085515794106,0.981359773938482,upsample
30,RCPS-Avg,0.9928422937627457,0.9826854649530884,upsample
31,CJ-trained,0.9911647571016357,0.9801940713447586,upsample
32,CJ-posthoc,0.9915216899227429,0.9798024711504174,upsample
33,CJRCPS-early,0.9854106975130523,0.9438666640888106,upsample
34,CJRCPS-later,0.9885489562266769,0.974772348513119,upsample
35,CJRCPS-all,0.991700574138792,0.9800599138516655,upsample
36,Standard-NoRCAug,0.9877866991885054,0.9722044556834277,upsample
37,Standard-RCAug,0.9898018544217572,0.9757509870651727,upsample
38,RCPS-Sum,0.9913794562393697,0.9791226083897757,upsample
39,RCPS-Avg,0.9921278252113355,0.9811970799313208,upsample
40,CJ-trained,0.9911791528808482,0.9790852530331062,upsample
41,CJ-posthoc,0.9913857497651826,0.9794174897939927,upsample
42,CJRCPS-early,0.9916135753996125,0.9802214478845852,upsample
43,CJRCPS-later,0.9774379638169864,0.9534009019043312,upsample
44,CJRCPS-all,0.9907856435685454,0.9783405177038703,upsample
45,Standard-NoRCAug,0.9880607372839048,0.9721310312395838,upsample
46,Standard-RCAug,0.9908286193590969,0.9783690589495955,upsample
47,RCPS-Sum,0.9920772019936198,0.9813102269445706,upsample
48,RCPS-Avg,0.9919993315112078,0.980767110544401,upsample
49,CJ-trained,0.9905176768745187,0.9779433921397247,upsample
50,CJ-posthoc,0.9915539296986723,0.9800804633311493,upsample
51,CJRCPS-early,0.9833766828570703,0.9546627532495099,upsample
52,CJRCPS-later,0.9754583696489164,0.9494532745232042,upsample
53,CJRCPS-all,0.9909514012878986,0.9797466822518318,upsample
54,Standard-NoRCAug,0.9889285668954195,0.9721353324568084,upsample
55,Standard-RCAug,0.9894034583717645,0.9756481593283655,upsample
56,RCPS-Sum,0.9918877086912005,0.9809240924753581,upsample
57,RCPS-Avg,0.9920738172402412,0.9809427224182299,upsample
58,CJ-trained,0.9912131696523011,0.978975805675693,upsample
59,CJ-posthoc,0.9911088240520576,0.97925446751553,upsample
60,CJRCPS-early,0.9894226880018953,0.968231027021178,upsample
61,CJRCPS-later,0.9888556148827605,0.97256195480804,upsample
62,CJRCPS-all,0.9905162171996242,0.9780815687231844,upsample
63,Standard-NoRCAug,0.9880437394755326,0.9719000165812063,upsample
64,Standard-RCAug,0.9894962323463957,0.9758302636124977,upsample
65,RCPS-Sum,0.991647951801112,0.9803199286447631,upsample
66,RCPS-Avg,0.9920837387985818,0.9813177532235914,upsample
67,CJ-trained,0.9908613456933245,0.9788224461029695,upsample
68,CJ-posthoc,0.9908756568537026,0.9788515185671828,upsample
69,CJRCPS-early,0.9909343505927549,0.9788469331128803,upsample
70,CJRCPS-later,0.9871117899422054,0.9718363442149688,upsample
