,Model Type,Held-out AuROC,Held-out AuPRC,Imbalance
48,RCPS-Avg,0.9903164404010502,0.978752827737452,upsample
49,CJ-trained,0.9859923909488064,0.9703817105633182,upsample
50,CJ-posthoc,0.9856090102826258,0.9693866797847787,upsample
51,CJRCPS-early,0.9792950698858336,0.953757850926301,upsample
52,CJRCPS-later,0.9810352717954649,0.9604413142032232,upsample
53,CJRCPS-all,0.9854804196124572,0.9690882001517148,upsample
54,Standard-NoRCAug,0.9795357440687651,0.9586699022236679,upsample
55,Standard-RCAug,0.9831326442052454,0.9647015507780768,upsample
56,RCPS-Sum,0.9870448835201125,0.9739707884634099,upsample
57,RCPS-Avg,0.9894911771523188,0.9762040621594428,upsample
58,CJ-trained,0.9863294930809378,0.9707258255108872,upsample
59,CJ-posthoc,0.9862857091147085,0.9702477081436497,upsample
60,CJRCPS-early,0.9845289140280918,0.968261123498481,upsample
61,CJRCPS-later,0.969257522511195,0.9449684635501365,upsample
62,CJRCPS-all,0.9851882283030535,0.9693176621338926,upsample
63,Standard-NoRCAug,0.9798506187414195,0.9582200873665819,upsample
64,Standard-RCAug,0.983027665909792,0.9634657409197297,upsample
65,RCPS-Sum,0.9896418146408457,0.9774390999074525,upsample
66,RCPS-Avg,0.9908435683873983,0.9786984512841035,upsample
67,CJ-trained,0.9851723318846661,0.9684683832019458,upsample
68,CJ-posthoc,0.9860401662235482,0.9688550373257815,upsample
69,CJRCPS-early,0.9837794856411042,0.9610678598258209,upsample
70,CJRCPS-later,0.9741754769497547,0.9555360436927335,upsample
71,CJRCPS-all,0.9847893038987634,0.968133076762012,upsample
72,Standard-NoRCAug,0.9799979874859058,0.9577509209311144,upsample
73,Standard-RCAug,0.9834152013216874,0.9649726674166859,upsample
74,RCPS-Sum,0.9895642421835856,0.9775444320867142,upsample
75,RCPS-Avg,0.9903951569187242,0.9791053231746286,upsample
76,CJ-trained,0.985937149174519,0.9706534900404677,upsample
77,CJ-posthoc,0.9857767828714922,0.9697188858993272,upsample
78,CJRCPS-early,0.9823646958026799,0.9550205177122834,upsample
79,CJRCPS-later,0.9833284075654497,0.9675474727153143,upsample
80,CJRCPS-all,0.9861950788852022,0.9694858343576016,upsample
81,Standard-NoRCAug,0.9806729315185564,0.959840016658291,upsample
82,Standard-RCAug,0.9843884354519651,0.9657604467326846,upsample
83,RCPS-Sum,0.9884659613898363,0.9743968344943376,upsample
84,RCPS-Avg,0.9900140901792461,0.9786363362592352,upsample
85,CJ-trained,0.9851962453279112,0.9694562089834762,upsample
86,CJ-posthoc,0.986123028884979,0.9690844342408792,upsample
87,CJRCPS-early,0.9845454986031194,0.9587582660649491,upsample
88,CJRCPS-later,0.9321118507093717,0.8842410610454483,upsample
89,CJRCPS-all,0.9847398168343793,0.9675725841954285,upsample
