,Model Type,Held-out AuROC,Held-out AuPRC,Imbalance
0,Standard-NoRCAug,0.918903421141273,0.6782269879312318,upsample
1,Standard-RCAug,0.9282078136777625,0.6989893346249838,upsample
2,RCPS-Sum,0.9227114171167877,0.6879840195268152,upsample
3,RCPS-Avg,0.9263450630937843,0.6906883352129375,upsample
4,CJ-trained,0.9301067371719546,0.7173834015891808,upsample
5,CJ-posthoc,0.9306776862723155,0.7153015110849203,upsample
6,CJRCPS-early,0.8851709308870435,0.5062054606270363,upsample
7,CJRCPS-later,0.9188021369926741,0.7048665311696773,upsample
8,CJRCPS-all,0.9274220557788331,0.7103396097392211,upsample
9,Standard-NoRCAug,0.922789180301968,0.6727935345500768,upsample
10,Standard-RCAug,0.9288345479202258,0.711204448445723,upsample
11,RCPS-Sum,0.9264712396905491,0.697702291549656,upsample
12,RCPS-Avg,0.9261248369304634,0.6967457148697399,upsample
13,CJ-trained,0.928542661678851,0.7051797677162938,upsample
14,CJ-posthoc,0.9327158840426104,0.7230144213232773,upsample
15,CJRCPS-early,0.929269994327539,0.6966091294590392,upsample
16,CJRCPS-later,0.9152770783205566,0.6233010918936525,upsample
17,CJRCPS-all,0.9276203724733137,0.712663783880489,upsample
18,Standard-NoRCAug,0.9217654355122387,0.6905745228654881,upsample
19,Standard-RCAug,0.9266418181060124,0.6988422287178123,upsample
20,RCPS-Sum,0.9239105748057155,0.705509526173365,upsample
21,RCPS-Avg,0.9247779017599989,0.7039330383807596,upsample
22,CJ-trained,0.9271376098422133,0.7166792311868657,upsample
23,CJ-posthoc,0.929690422976868,0.7101957531691803,upsample
24,CJRCPS-early,0.9244060922449668,0.6886828223169604,upsample
25,CJRCPS-later,0.9228612518254462,0.6657811213081847,upsample
26,CJRCPS-all,0.9271504675117207,0.7032552099287884,upsample
27,Standard-NoRCAug,0.9202055430476147,0.677062355787443,upsample
28,Standard-RCAug,0.925347753672562,0.7046515564068243,upsample
29,RCPS-Sum,0.9238586641080246,0.6921957930989525,upsample
30,RCPS-Avg,0.9242980192468683,0.6965878906788484,upsample
31,CJ-trained,0.9270552521831295,0.715546833945654,upsample
32,CJ-posthoc,0.928732715177728,0.7146620481242718,upsample
33,CJRCPS-early,0.9258417967657099,0.6985377498360534,upsample
34,CJRCPS-later,0.9197274434646556,0.6802672008595381,upsample
35,CJRCPS-all,0.9293332883486336,0.7123959468466187,upsample
36,Standard-NoRCAug,0.9213926316707647,0.6801621170695382,upsample
37,Standard-RCAug,0.9247075103053365,0.7011028798649169,upsample
38,RCPS-Sum,0.9266453839663559,0.705696637223823,upsample
39,RCPS-Avg,0.9258231788602631,0.705342214313046,upsample
40,CJ-trained,0.926800121732986,0.7078941991772326,upsample
41,CJ-posthoc,0.9293365799120274,0.7124018131155927,upsample
42,CJRCPS-early,0.925118921442451,0.6960146949327181,upsample
43,CJRCPS-later,0.8935892414153284,0.4939488052485039,upsample
44,CJRCPS-all,0.9265363166418152,0.7078500747517978,upsample
45,Standard-NoRCAug,0.9218415872028405,0.6905037530628273,upsample
